symbol,period_date,as_of_date,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,current_assets,current_liabilities,assets,liabilities,equity,cash,short_borrowings,long_borrowings,bonds_payable,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score
1101.TW,2022-09-30,2022-11-14,31123036000.0,2294680000.0,627538000.0,2103323000.0,464731000.0,1509641000.0,0.22,178596913000.0,76481831000.0,458733599000.0,237063153000.0,221670446000.0,95367543000.0,44217526000.0,39019996000.0,89535110000.0,0.2209508477775406,488882946.88737774,382251768000.0,0.0012789553582584,0.0068102944133563,0.003290888226393,1.0694395995395796,0.0737293109836713,0.020163135755779,0.0485055828101088,0.1577893618167365,,,22.67429890247975
1101.TW,2022-12-31,2023-03-31,34655376000.0,5182628000.0,2334656000.0,3805413000.0,1202711000.0,2487153000.0,0.36,175624058000.0,75209411000.0,460808961000.0,222533181000.0,238275780000.0,88842494000.0,22416812000.0,42864736000.0,72136574000.0,0.316052686002807,1596781700.3074305,385599550000.0,0.0041410362131061,0.010438127618342,0.0053973624874886,0.933931182598584,0.1495475911154448,0.0673677873239638,0.0717681724186169,0.1499409888077827,,,31.55280926672082
1101.TW,2023-03-31,2023-05-15,26295929000.0,2469221000.0,166067000.0,1480889000.0,475245000.0,1407161000.0,0.2,164832022000.0,74340055000.0,461648368000.0,221567334000.0,240081034000.0,70957209000.0,17733242000.0,33234023000.0,81423818000.0,0.3209187184184635,112772991.18840104,387308313000.0,0.0002911711094318,0.0058611918507481,0.0030481229817756,0.9228856203609986,0.0939012650969661,0.0063153121534515,0.0535125037795774,0.1446220053652342,,,22.328641582346776
1101.TW,2023-06-30,2023-08-14,27668242000.0,5984958000.0,3368248000.0,5781857000.0,1575174000.0,3541901000.0,0.45,154071563000.0,91552014000.0,456341649000.0,221622198000.0,234719451000.0,52738528000.0,19568604000.0,28385009000.0,68836963000.0,0.2724339256401533,2450622974.8304048,364789635000.0,0.0067179073627747,0.0150899338972976,0.0077615115950111,0.9442003935157466,0.216311466409756,0.1217369719406097,0.1280132290298747,0.0989127618727154,,,39.59288503459643
1101.TW,2023-09-30,2023-11-14,27002293000.0,5774952000.0,3062341000.0,3277077000.0,984705000.0,1246844000.0,0.17,163318027000.0,94338554000.0,472917462000.0,228190971000.0,244726491000.0,72510081000.0,20099911000.0,31737240000.0,68840993000.0,0.3004827167625295,2142160456.6667187,378578908000.0,0.0056584252619449,0.0050948468835766,0.0026364938920356,0.9324326519273306,0.2138689480926675,0.1134104055533357,0.0461754859115112,-0.132401703998286,,,27.1868797287297
1101.TW,2023-12-31,2024-03-31,28347871000.0,6304638000.0,3433504000.0,3817008000.0,1317094000.0,1801908000.0,0.24,153113300000.0,72581236000.0,469438522000.0,215537481000.0,253901041000.0,66366622000.0,20251073000.0,36791733000.0,82390353000.0,0.3450592715551028,2248741610.878468,396857286000.0,0.005666373505559,0.0070968909497302,0.0038384323304426,0.8489034946493189,0.2224025218683971,0.1211203479795713,0.0635641385555902,-0.1820065377446778,,,29.521740432828786
1101.TW,2024-03-31,2024-05-15,25544599000.0,3887461000.0,1200143000.0,3350960000.0,1111614000.0,1955674000.0,0.26,176118197000.0,83624804000.0,567986963000.0,272059608000.0,295927355000.0,83196535000.0,22763548000.0,62934071000.0,82489214000.0,0.3317300116981402,802019548.5705588,484362159000.0,0.0016558261905231,0.0066086286615848,0.0034431670573396,0.919345925286292,0.1521832853982166,0.0469822603204693,0.076559197503942,-0.0285721033092232,,,21.242209394734505
1101.TW,2024-06-30,2024-08-14,38968848000.0,7455570000.0,4325076000.0,5463399000.0,1953937000.0,2267071000.0,0.25,171878544000.0,92784347000.0,583500280000.0,286312574000.0,297187706000.0,79250584000.0,33734823000.0,62152416000.0,82588739000.0,0.3576412778931211,2778250292.375132,490715933000.0,0.0056616264228272,0.0076284144809139,0.0038852954792069,0.9634065212643756,0.1913212830925872,0.1109880384454782,0.0581764952353736,0.408432382512774,,,41.2443803724312
1101.TW,2024-09-30,2024-11-14,41075042000.0,9968917000.0,6269910000.0,6506633000.0,1887517000.0,3141229000.0,0.42,171245549000.0,85893664000.0,586487539000.0,283103817000.0,303383722000.0,74379277000.0,36200420000.0,64624432000.0,82689992000.0,0.2900912038530527,4451064260.0497055,500593875000.0,0.0088915675607291,0.0103539800332464,0.0053560029687178,0.9331542745065274,0.2427001048471234,0.152645248664627,0.0764753691548264,0.5211686651944707,,,49.14826317125929
1101.TW,2024-12-31,2025-03-31,49018022000.0,11416077000.0,5331488000.0,7511767000.0,2250194000.0,3895343000.0,0.52,173380580000.0,86373382000.0,593413647000.0,285505383000.0,307908264000.0,77764504000.0,24292290000.0,61287926000.0,90059574000.0,0.2995558834559165,3734409402.025383,507040265000.0,0.0073651140940954,0.0126509855545806,0.0065642962875776,0.9272417027429962,0.2328955052490694,0.1087658739065399,0.0794675680711881,0.7291606131550408,,,45.73726419677939
1101.TW,2025-03-31,2025-05-15,34956255000.0,5893708000.0,2301470000.0,1892182000.0,1123790000.0,527294000.0,0.07,190775550000.0,113308585000.0,622719805000.0,305685980000.0,317033825000.0,89680417000.0,28771927000.0,41808625000.0,101626887000.0,0.4,1380882000.0,509411220000.0,0.0027107412357348,0.001663210542282,0.000846759643368,0.9642062010260262,0.1686023860393511,0.0658385745269337,0.0150843961974759,0.3684401544138547,,,33.16353217240477
1101.TW,2025-06-30,2025-08-14,35354423000.0,5346846000.0,1114428000.0,1179385000.0,449313000.0,433428000.0,0.0,166160771000.0,82926585000.0,566872339000.0,289988360000.0,276883979000.0,72247885000.0,20929093000.0,57975803000.0,101825136000.0,0.3809722864035069,689861816.8079126,483945754000.0,0.0014254940995058,0.0015653776775578,0.0007645954303654,1.04732805793722,0.1512355611064562,0.0315216005646591,0.0122595127630848,-0.0927516512676998,,,14.748857135713015
1101.TW,2025-09-30,2025-11-14,39066903000.0,8843981000.0,5140084000.0,-10117389000.0,1667704000.0,-10200124000.0,-1.36,178421439000.0,94125885000.0,581076431000.0,300508561000.0,280567870000.0,87297723000.0,30524577000.0,62082192000.0,96229368000.0,0.0,5140084000.0,486950546000.0,0.0105556591777597,-0.0363552818788551,-0.017553842241452,1.0710726107020023,0.2263803967260983,0.1315713201018263,-0.2610937447485919,-0.0488895178731649,,,29.8144678767736
1101.TW,2025-12-31,2026-03-31,40426554000.0,7473054000.0,1521610000.0,-2383674000.0,-807717000.0,-2378206000.0,-0.32,178163742000.0,85947537000.0,588835474000.0,296129659000.0,292705815000.0,90165009000.0,4555236000.0,67266620000.0,98372810000.0,0.3388538029948726,1006006664.8249718,502887937000.0,0.0020004589309227,-0.0081249017891906,-0.0040388293589798,1.0116972189295248,0.184855083121851,0.0376388746861778,-0.058827818962754,-0.1752716174471503,,,16.097953622814025
1101.TW,2026-03-31,2026-05-15,33168148000.0,6208390000.0,2792191000.0,2132735000.0,927996000.0,718189000.0,0.1,184722314000.0,82516661000.0,597615286000.0,292869670000.0,304745616000.0,97044326000.0,5704442000.0,70674580000.0,98473452000.0,0.4,1675314600.0,515098625000.0,0.0032524152049522,0.0023566836150975,0.0012017580822054,0.961029969336786,0.1871792781435972,0.0841829034289162,0.021652972604922,-0.0511527050022949,,,23.33964555046912
1102.TW,2020-03-31,2020-05-15,13138882000.0,2697942000.0,2021639000.0,1568288000.0,437689000.0,743772000.0,0.24,98316766000.0,71388811000.0,303438912000.0,137606540000.0,165832372000.0,29628489000.0,29338695000.0,33605606000.0,19303063000.0,0.2790871319553551,1457425569.6409078,232050101000.0,0.0062806504429873,0.0044850832863923,0.0024511424559813,0.8297929912019831,0.2053403021657398,0.1538668967420515,0.0566084694268507,,,,35.720703301976606
1102.TW,2020-06-30,2020-08-14,20689211000.0,6677061000.0,5410837000.0,7716300000.0,2013081000.0,4667406000.0,1.49,92590336000.0,75561022000.0,296268103000.0,136749310000.0,159518793000.0,20375076000.0,26288464000.0,15387028000.0,32525398000.0,0.2608868239959566,3999220919.910191,220707081000.0,0.0181200390209056,0.0292592860829883,0.0157539942799714,0.8572614387823257,0.3227315435083532,0.261529402933732,0.2255961331729856,,,,62.8976317891012
1102.TW,2020-09-30,2020-11-14,20736080000.0,6402750000.0,5644700000.0,7577748000.0,1423967000.0,4929580000.0,1.57,93073533000.0,71967060000.0,302070074000.0,135377633000.0,166692441000.0,37609519000.0,26003606000.0,20697983000.0,29400000000.0,0.1879142721557908,4583980307.962207,230103014000.0,0.0199214266179156,0.0295729066682753,0.0163193259587839,0.8121402037660483,0.3087734036519921,0.2722163494739603,0.2377295998086427,,,,63.64147354693503
1102.TW,2020-12-31,2021-03-31,23676707000.0,7551723000.0,6592962000.0,7281547000.0,1495339000.0,4369728000.0,1.4,87023947000.0,64027610000.0,297086855000.0,127199903000.0,169886952000.0,25911732000.0,19214889000.0,10944833000.0,38800000000.0,0.2053600697763813,5239030863.64697,233059245000.0,0.0224793951582867,0.0257213867725403,0.0147085874937145,0.7487326219143657,0.31895157548725,0.2784577264059567,0.184558097542872,,,,63.88611876653818
1102.TW,2021-03-31,2021-05-15,17877389000.0,4360188000.0,3723020000.0,4743883000.0,894641000.0,3200039000.0,1.02,87445807000.0,54418302000.0,297244125000.0,123770679000.0,173473446000.0,26264176000.0,19466042000.0,16998375000.0,38800000000.0,0.1885883357578591,3020901854.206775,242825823000.0,0.0124406120275221,0.0184468520905499,0.0107656930141176,0.7134848696093811,0.2438940048795716,0.2082530060737616,0.178999237528478,0.3606476563226612,,,59.40629385073465
1102.TW,2021-06-30,2021-08-14,22084285000.0,6210313000.0,5307419000.0,6804573000.0,1438543000.0,4515055000.0,1.44,98193043000.0,74759340000.0,307137722000.0,142357440000.0,164780282000.0,34503951000.0,24320572000.0,15395009000.0,38800000000.0,0.2114082691154904,4185386735.739333,232378382000.0,0.0180110847649302,0.0274004568095107,0.014700424847196,0.8639227841593329,0.2812096022126141,0.240325598044039,0.2044465102673688,0.0674300242769045,,,57.28933545265272
1102.TW,2021-09-30,2021-11-14,21849055000.0,4467575000.0,3502401000.0,4832940000.0,1050708000.0,3354943000.0,1.04,98148726000.0,57032778000.0,307287866000.0,133048748000.0,174239118000.0,33405511000.0,18159292000.0,17396328000.0,45178844000.0,0.2174055543830463,2740959568.923264,250255088000.0,0.0109526627043973,0.0192548208376491,0.0109179156459109,0.7635986082069125,0.2044745184631555,0.1602998848233939,0.1535509430499397,0.0536733558126705,,,45.26935685246659
