date,symbol,name,Close,market_regime,fund_ml_85_15,fundamental_rank,fundamental_score,final_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-06-29,6944.TW,兆聯實業,984.0,bull,0.9403669724770642,38.0,89.06912245037437,74.926758988386,70.21263783438988,0.8058748791653427,0.298050139275766,0.2462825278810408,-0.0803738317757009,0.040169133192389,0.2964426877470356,61.5873015873016,0.6202478774089472,0.0115651503469544
2026-06-29,2527.TW,宏璟,39.45000076293945,bull,0.9123853211009174,74.0,82.24426248497689,71.07010497563546,67.34538580585497,0.8727666352524125,0.2089136490250696,0.2026022304832713,0.0050955608392218,0.0734694085153593,0.3626942909598001,72.68520186468136,0.8639741603176413,0.044134212464266
2026-06-29,4807.TW,日成-KY,36.59999847412109,bull,0.9059633027522936,90.0,79.1380462401501,75.94464769134795,74.8801815084139,0.8790000286893154,0.042711234911792,0.0185873605947955,-0.1672355440552394,0.3118279202345417,1.5505224739494057,53.46358231357379,0.5508086807214975,-0.0428870730105322
2026-06-29,3014.TW,聯陽,157.5,bull,0.9055045871559634,51.0,86.91029224348934,74.73218014552373,70.67280944620185,0.6433139397290055,0.3667595171773444,0.1886617100371747,-0.0186915887850467,0.0227272727272727,0.3755458515283842,62.29508196721312,0.5506967235972837,0.0339734121122601
2026-06-29,6491.TW,晶碩,331.0,bull,0.8963302752293578,52.0,86.74813401220891,75.28948074847207,71.46992966055979,0.6385021428815265,0.3277623026926648,0.312267657992565,0.0122324159021407,0.0295489891135303,0.1949458483754513,59.32203389830509,1.4660159796380752,0.0250851656859709
2026-06-29,2458.TW,義隆,180.0,bull,0.8954128440366972,50.0,86.91654017956604,85.37488249428361,84.86099659918946,0.577317568942356,0.1443825441039925,0.1505576208178438,0.0084033613445377,0.1111111111111111,0.4754098360655738,61.92893401015229,2.2978987350827063,0.1078627481150946
2026-06-29,2330.TW,台積電,2370.0,bull,0.8738532110091743,5.0,99.15374073493592,71.43823279710043,62.19973015115525,0.2592243885721806,0.4512534818941504,0.2174721189591078,-0.0557768924302788,0.0063694267515923,0.3465909090909091,57.3620648848838,1.012237592237321,0.0013716932946401
2026-06-29,2408.TW,南亞科,453.0,bull,0.865137614678899,2.0,100.0,89.39229476558906,85.8563930207854,0.1729621996034005,0.0445682451253481,0.0325278810408921,-0.1029702970297029,0.3054755043227666,1.2821158690176322,66.09929078014184,0.6280881537760773,0.1040701925420424
2026-06-29,3034.TW,聯詠,523.0,bull,0.8555045871559633,115.0,75.54535048945058,76.27793227611357,76.52212620500124,0.916074202898589,0.1643454038997214,0.1868029739776951,-0.0776014109347442,0.0964360587002095,0.378129117259552,62.13592233009709,0.8881035481735015,0.0286163831251844
2026-06-29,6197.TW,佳必琪,344.5,bull,0.8545871559633028,33.0,89.98012274352672,80.52637243592852,77.3751223333958,0.2792065648755734,0.0993500464252553,0.0390334572490706,-0.0240793201133144,0.15993265993266,1.173501577287066,55.66343042071197,0.8234491371888467,0.0271317829457364
2026-06-29,2344.TW,華邦電,203.0,bull,0.8509174311926606,11.0,96.98400611250784,85.32838200769982,81.4431739727638,0.1761834641841554,0.0492107706592386,0.0353159851301115,-0.0855855855855856,0.2848101265822784,1.2505543998685913,68.70229007633588,0.5971840789099245,0.0883259616673368
2026-06-29,7610.TW,聯友金屬-創,2100.0,bull,0.8472477064220184,12.0,96.94016846060627,90.28831958790876,88.07103663034289,0.1993792577989825,0.0194986072423398,0.0009293680297397,-0.1616766467065868,0.423728813559322,4.982905982905983,58.0,0.500968631976059,0.0841507485802788
