date,symbol,name,Close,market_regime,fund_final_ml,fundamental_rank,fundamental_score,final_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-07-27,5515.TW,建國,43.59999847412109,bull,0.897979797979798,104.0,76.63848749386133,74.33192469852636,73.56307043341472,0.7451270871000699,0.10555555555555556,0.30954587581093607,0.01988300524259845,0.07654317220052076,0.0712530136810785,65.12817764033566,1.032248190793521,0.04543815740271406
2026-07-27,6177.TW,達麗,47.900001525878906,bull,0.8909090909090909,43.0,87.89986336679576,69.96601112420056,63.988060376668834,0.7551539549994264,0.15555555555555556,0.34661723818350326,0.011615693125279103,0.057395194980296216,0.05274728628305292,72.56642306591273,0.7305807489729037,0.027841895975077025
2026-07-27,6598.TW,ABC-KY,30.0,bull,0.8898989898989899,181.0,67.77168793520316,79.24735123928426,83.07257234064463,0.7573613314570425,0.010185185185185186,0.06487488415199258,0.1235954735117859,0.3129102625454916,0.3986013488555642,73.89830249851032,2.2650761072490995,0.19832234232101875
2026-07-27,9942.TW,茂順,123.0,bull,0.8878787878787878,66.0,83.11611500419343,70.1834443680051,65.87255415594231,0.7764249104378337,0.18611111111111112,0.34291010194624655,-0.004048582995951455,0.04680851063829783,0.05579399141630903,66.66666666666666,0.8315399810970445,0.01589923601073706
2026-07-27,8464.TW,億豐,379.0,bull,0.8696969696969696,62.0,84.51846605538479,76.84048336400895,74.281155800217,0.5243589222297935,0.08888888888888889,0.30120481927710846,0.05277777777777781,0.09379509379509376,0.07977207977207978,57.142857142857146,1.0280965139076572,0.04235423542354222
2026-07-27,2395.TW,研華,577.0,bull,0.8545454545454545,49.0,87.43653384699755,83.17874136082787,81.75947719877132,0.39933452319892904,0.018518518518518517,0.03243744207599629,0.11821705426356588,0.22116402116402112,0.6050069541029208,74.21621948389537,1.1304418757335835,0.08446743810136303
2026-07-27,2376.TW,技嘉,349.5,bull,0.8525252525252525,275.0,59.16561347732097,73.84747369368185,78.74142709913548,0.970163966243334,0.10925925925925926,0.10287303058387395,0.0558912386706949,0.07538461538461538,0.2802197802197801,64.90066225165563,1.1673563168246022,0.03036556603773599
2026-07-27,1808.TW,潤隆,32.150001525878906,bull,0.8515151515151516,149.0,72.1127428848662,69.67239923168887,68.85895134729643,0.8070607591559643,0.11018518518518519,0.22984244670991658,0.011006361547658772,0.07525090087139019,0.12020908262115682,75.00005019344555,0.6009093661192171,0.03492681684719878
2026-07-27,1733.TW,五鼎,32.20000076293945,bull,0.8484848484848485,137.0,72.99324516078546,71.25476872380996,70.67527657815145,0.6592534101367503,0.09259259259259259,0.2159406858202039,0.017377603508316186,0.08967856495087045,0.12784594127557325,77.1084237676694,0.5949171767166773,0.04621885801721204
2026-07-27,2923.TW,鼎固-KY,34.45000076293945,bull,0.8181818181818183,317.0,53.57592567176444,82.25135816864433,91.8098356676043,0.6787008567947819,0.009259259259259259,0.03429101019462465,-0.049655151367187456,0.3224568818385407,0.6023256168809048,66.44444783528647,1.4793130220679205,0.12498981859823655
2026-07-27,1783.TW,和康生,40.900001525878906,bull,0.8111111111111111,99.0,77.42104017134606,68.59180096550288,65.64872123022182,0.6385377358205628,0.16666666666666666,0.3493975903614458,0.01867994947687812,0.05412377139462676,0.051413879731327716,53.16455940695415,1.1725347810725302,0.019822995004453947
2026-07-27,2364.TW,倫飛,70.69999694824219,bull,0.811111111111111,245.0,61.7822396932274,69.49899108877915,72.07124155396306,0.8535635916177833,0.10740740740740741,0.22706209453197404,0.03665689313589393,0.07610350429603452,0.12222217378162203,55.79709143379986,0.5731589300265172,0.021012307889817672
2026-07-27,1732.TW,毛寶,27.350000381469727,bull,0.806060606060606,241.0,62.10935117561258,70.69777519568387,73.5605832023743,0.7358415001975034,0.21296296296296297,0.3373493975903614,0.03598487790403748,0.039923999044439995,0.06007756551336141,59.782611850531765,1.3219793275299003,0.02463239361218661
2026-07-27,2059.TW,川湖,8275.0,bull,0.8020202020202021,1.0,100.0,82.15585132188139,76.20780176250852,0.1117837373507676,0.037037037037037035,0.006487488415199258,0.06774193548387086,0.16385372714486635,1.1163682864450126,50.208623087621696,0.9579251218153811,0.02977320100799541
2026-07-27,5288.TW,豐祥-KY,194.5,bull,0.7979797979797979,163.0,70.01559901846518,75.63949517645337,77.51412722911608,0.44536286744514586,0.07222222222222222,0.17145505097312327,0.04289544235924936,0.10826210826210825,0.17168674698795172,57.42574257425742,0.8225505877897413,0.03526280771789758
