date,symbol,name,Close,market_regime,fund_ml_85_15,fundamental_rank,fundamental_score,final_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-08-07,2101.TW,南港,35.5,neutral,0.9476744186046511,68.0,82.80478413647866,74.60469464620947,71.8713314827864,0.7928423035927407,0.14391829155060354,0.23513011152416358,0.06766917293233088,0.044117647058823595,0.09062982587049229,68.86791366409379,2.0354508409708463,0.053256195827238395
2026-08-07,6177.TW,達麗,48.79999923706055,neutral,0.9459302325581396,43.0,87.89986336679576,79.54845328912867,76.76464992990633,0.6334741892854618,0.08635097493036212,0.2853159851301115,0.031712474084454545,0.07726269445798573,0.06783366350914921,65.26315366792892,1.7169704181415906,0.026396036392717592
2026-08-07,8464.TW,億豐,381.0,neutral,0.9331395348837208,62.0,84.51846605538479,74.49737718829662,71.15701423260057,0.6607018763650891,0.11606313834726091,0.14312267657992564,0.0,0.05833333333333335,0.16158536585365857,75.60975609756098,1.1019422924669502,0.028409474323503492
2026-08-07,3034.TW,聯詠,542.0,neutral,0.9168604651162789,116.0,75.54535048945058,65.55088332020262,62.21939426378663,0.8446719143818177,0.14298978644382543,0.22397769516728624,0.044315992292870865,0.044315992292870865,0.09939148073022319,73.46368715083798,0.6492655581192281,0.0853023628354026
2026-08-07,5515.TW,建國,43.25,neutral,0.9023255813953488,104.0,76.63848749386133,69.62064190921272,67.28136004766318,0.7001291265535523,0.12906220984215414,0.30390334572490707,0.00815847230005251,0.04975726211404785,0.056166036488626725,52.604167080587885,1.2014447808875224,0.016809680669348515
2026-08-07,4763.TW,材料*-KY,49.900001525878906,neutral,0.8732558139534884,83.0,80.5798896395777,78.54532247899502,77.86713342546746,0.4868221843716493,0.1327762302692665,0.12453531598513011,0.03419692281614317,0.048319393392591614,0.18106512487287363,55.158742893611745,1.474149777658384,0.03003408911742289
2026-08-07,2395.TW,研華,634.0,neutral,0.8697674418604651,49.0,87.43653384699755,86.57330505413356,86.28556212317888,0.3578690652437645,0.022284122562674095,0.03903345724907063,0.12611012433392532,0.19932447293868005,0.36344086021505384,73.98373983739837,1.3515906677543028,0.12309816778042992
2026-08-07,1438.TW,三地開發,22.350000381469727,neutral,0.8662790697674417,178.0,68.22752717503778,65.99689627422279,65.25335264061779,0.9545172458463439,0.2265552460538533,0.2732342007434944,-0.04077248440762904,0.018223216611711335,0.07194244472691302,67.41574767442717,0.5261510168155242,0.01211368281554459
2026-08-07,1808.TW,潤隆,33.04999923706055,neutral,0.8598837209302326,149.0,72.1127428848662,79.33241833708196,81.73897682115388,0.7363537573982034,0.06685236768802229,0.18866171003717472,0.001515128395774168,0.09800660525595584,0.12224103160810151,60.86957963970636,1.114269046275169,0.03184512074241863
2026-08-07,3008.TW,大立光,4385.0,neutral,0.8511627906976744,100.0,76.94531754874203,85.17739385777502,87.92141929411935,0.43301077067986105,0.05385329619312906,0.03345724907063197,0.08674101610904583,0.11012658227848093,0.39872408293460926,60.944206008583684,0.7225139304041268,0.06522531276569898
