item,value
latest_date,2026-07-03
market_regime,bull
universe_rows,1079
candidate_rows,89
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"3443.TW 創意,6139.TW 亞翔,2379.TW 瑞昱,2458.TW 義隆,8081.TW 致新"
defensive_fund_ml_85_15_top5,"2025.TW 千興,3443.TW 創意,2458.TW 義隆,3014.TW 聯陽,2345.TW 智邦"
fundamental_only_top5,"2059.TW 川湖,2408.TW 南亞科,2330.TW 台積電,2344.TW 華邦電,1590.TW 亞德客-KY"
final_score_only_top5,"2059.TW 川湖,3443.TW 創意,6197.TW 佳必琪,2327.TW 國巨*,2472.TW 立隆電"
stable_ml_only_top5,"2025.TW 千興,6691.TW 洋基工程,2030.TW 彰源,6139.TW 亞翔,1709.TW 和益"
