item,value
latest_date,2026-08-20
market_regime,neutral
universe_rows,1077
candidate_rows,120
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"6753.TW 龍德造船,3017.TW 奇鋐,1808.TW 潤隆,9946.TW 三發地產,6805.TW 富世達"
defensive_fund_ml_85_15_top5,"9946.TW 三發地產,6805.TW 富世達,6183.TW 關貿,3034.TW 聯詠,3017.TW 奇鋐"
fundamental_only_top5,"2408.TW 南亞科,3006.TW 晶豪科,2344.TW 華邦電,6446.TW 藥華藥,9946.TW 三發地產"
final_score_only_top5,"2408.TW 南亞科,6446.TW 藥華藥,1808.TW 潤隆,2383.TW 台光電,2395.TW 研華"
stable_ml_only_top5,"2380.TW 虹光,2537.TW 聯上發,3712.TW 永崴投控,2601.TW 益航,9935.TW 慶豐富"
