item,value
latest_date,2026-06-17
market_regime,bull
universe_rows,1079
candidate_rows,81
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2527.TW 宏璟,2025.TW 千興,6944.TW 兆聯實業,9906.TW 欣巴巴,6446.TW 藥華藥"
defensive_fund_ml_85_15_top5,"2025.TW 千興,6944.TW 兆聯實業,2527.TW 宏璟,3014.TW 聯陽,6446.TW 藥華藥"
fundamental_only_top5,"2059.TW 川湖,2330.TW 台積電,6446.TW 藥華藥,2368.TW 金像電,6944.TW 兆聯實業"
final_score_only_top5,"2059.TW 川湖,6446.TW 藥華藥,2527.TW 宏璟,2495.TW 普安,3406.TW 玉晶光"
stable_ml_only_top5,"2025.TW 千興,2911.TW 麗嬰房,3528.TW 安馳,9933.TW 中鼎,2527.TW 宏璟"
