item,value
latest_date,2026-07-28
market_regime,bull
universe_rows,1079
candidate_rows,132
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"6177.TW 達麗,5515.TW 建國,4736.TW 泰博,2527.TW 宏璟,6598.TW ABC-KY"
defensive_fund_ml_85_15_top5,"6177.TW 達麗,9942.TW 茂順,4736.TW 泰博,2527.TW 宏璟,5515.TW 建國"
fundamental_only_top5,"6177.TW 達麗,2395.TW 研華,8464.TW 億豐,9942.TW 茂順,2527.TW 宏璟"
final_score_only_top5,"2395.TW 研華,6598.TW ABC-KY,6505.TW 台塑化,2923.TW 鼎固-KY,6243.TW 迅杰"
stable_ml_only_top5,"2762.TW 世界健身-KY,2546.TW 根基,8462.TW 柏文,1468.TW 昶和,4736.TW 泰博"
