item,value
latest_date,2026-07-20
market_regime,bull
universe_rows,1080
candidate_rows,100
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2527.TW 宏璟,2645.TW 長榮航太,2423.TW 固緯,5269.TW 祥碩,9942.TW 茂順"
defensive_fund_ml_85_15_top5,"5269.TW 祥碩,2423.TW 固緯,9942.TW 茂順,2527.TW 宏璟,2645.TW 長榮航太"
fundamental_only_top5,"2059.TW 川湖,6446.TW 藥華藥,2423.TW 固緯,5269.TW 祥碩,2395.TW 研華"
final_score_only_top5,"2527.TW 宏璟,2059.TW 川湖,2395.TW 研華,2645.TW 長榮航太,3413.TW 京鼎"
stable_ml_only_top5,"2546.TW 根基,2849.TW 安泰銀,2645.TW 長榮航太,8462.TW 柏文,6225.TW 天瀚"
