date,symbol,name,Close,market_regime,final_score,fundamental_rank,fundamental_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-07-28,2395.TW,研華,556.0,bull,83.08729529076147,49.0,87.43653384699755,81.63754910534945,0.38983240247628737,0.025023169601482854,0.04267161410018553,-0.01940035273368612,0.13008130081300817,0.4075949367088607,56.70323253325436,0.9570018998172599,0.03875064744072465
2026-07-28,6598.TW,ABC-KY,29.100000381469727,bull,82.04795308299413,181.0,67.77168793520316,86.80670813225778,0.7120603180041001,0.010194624652455977,0.0686456400742115,0.09193248773016549,0.273522971363644,0.2904656925062934,70.55016456901508,1.459442544842409,0.1480422222384674
2026-07-28,6505.TW,台塑化,74.5999984741211,bull,82.01901608596698,193.0,66.8716639923295,87.06813345051282,0.34973972009499354,0.004633920296570899,0.05009276437847866,-0.1264637337094786,0.3539020061708098,0.3814814532244648,62.377844294040756,0.5526191492996073,0.059884899280339576
2026-07-28,2923.TW,鼎固-KY,37.650001525878906,bull,80.50359180857954,317.0,53.57592567176444,89.47948052085125,0.6216954031579931,0.0027803521779425394,0.012987012987012988,0.06205925854984473,0.37659967095970037,0.7470999006408514,68.73706270675285,1.7818836697958365,0.20915299592340708
2026-07-28,6243.TW,迅杰,49.59999847412109,bull,79.30181294864892,549.0,38.55396498905318,92.88442893518084,0.7308633408424775,0.012048192771084338,0.036178107606679034,-0.02745101031135122,0.24310768364133573,0.45882348453297306,61.76470533236769,3.157161666497323,0.12020775180433163
2026-07-28,8464.TW,億豐,377.0,bull,77.12873717246184,62.0,84.51846605538479,74.66549421148751,0.5741551210571144,0.05004633920296571,0.20964749536178107,0.038567493112947604,0.08959537572254339,0.09593023255813948,66.66666666666666,0.6645898081189272,0.032452416815007545
2026-07-28,6957.TW,裕慶-KY,230.0,bull,75.61214884935299,286.0,57.7309173012778,81.57255936537804,0.7172331551059031,0.013901760889712697,0.04638218923933209,-0.09090909090909094,0.21052631578947367,0.39393939393939403,64.3835616438356,0.6739802034783768,0.022904158327774038
2026-07-28,1419.TW,新紡,68.19999694824219,bull,75.34129794300405,140.0,72.80054807279497,76.18821456640708,0.5507282416401234,0.10379981464318813,0.28385899814471244,0.019431919173580336,0.04923072228064895,0.052469039141382234,59.139765539758976,1.1740956561489464,0.024177768033498914
2026-07-28,6214.TW,精誠,143.0,bull,74.55950610519525,322.0,53.24611007538207,81.66397144846631,0.37708013018156905,0.06765523632993513,0.12337662337662338,0.010600706713780994,0.0671641791044777,0.17695473251028804,62.903225806451616,1.168245048161329,0.029888368743248073
2026-07-28,3231.TW,緯創,170.0,bull,74.50387145676152,532.0,39.08905119727999,86.30881154325535,0.8005101904066271,0.033364226135310475,0.09833024118738404,0.1371237458193979,0.1118868919518261,0.209964412811388,68.2170542635659,1.4650565667657174,0.10693766578829811
2026-07-28,6669.TW,緯穎,5315.0,bull,74.34354973668181,208.0,65.40144535951697,77.32425119573675,0.6557880822614636,0.021316033364226137,0.21150278293135436,0.06299999999999994,0.1467098166127292,0.09362139917695478,55.37525354969575,1.2016668523733072,0.033845555339428124
2026-07-28,2527.TW,宏璟,43.150001525878906,bull,74.27956617083524,75.0,82.24426248497689,71.62466739945468,0.6699784139948273,0.08619091751621873,0.08719851576994433,-0.14554452424002162,0.06019657781359,0.23816365610234458,53.25132203727086,0.7647396167327131,-0.04047138902183145
2026-07-28,5515.TW,建國,42.45000076293945,bull,74.18748989975427,104.0,76.63848749386133,73.37049070171857,0.7537998615795376,0.15848007414272475,0.24582560296846012,-0.040677948860125324,0.029090927586411075,0.07196975754130053,58.52535437123784,1.0784036355003608,0.016401307502667883
2026-07-28,6414.TW,樺漢,436.0,bull,73.46064357369937,665.0,30.957982203301764,87.6281973638319,0.48829092357913517,0.017608897126969416,0.0640074211502783,-0.021324354657688005,0.17997293640054135,0.3053892215568863,56.98689956331878,1.600778992539861,0.05066570275317783
2026-07-28,2615.TW,萬海,83.5999984741211,bull,73.26136312045656,389.0,48.73816272918027,81.43576325088199,0.6743096426507525,0.04448563484708063,0.19573283858998144,-0.01877932548627992,0.09523815711326833,0.10582010795593488,60.93749379118186,0.6141678976045026,0.0327972552501028
2026-07-28,2850.TW,新產,155.0,bull,73.20649863424018,341.0,51.89726928896828,80.30957508266414,0.16450952820921988,0.05468025949953661,0.11317254174397032,0.05084745762711873,0.08771929824561409,0.1923076923076923,66.07142857142857,2.119676838878267,0.05693828844186832
2026-07-28,6177.TW,達麗,47.400001525878906,bull,72.90028858879037,43.0,87.89986336679576,67.90043032945525,0.7494898986438555,0.10009267840593142,0.28664192949907236,-0.0031545260481251614,0.0509978520969927,0.04983388535901501,68.33335134719299,0.8655171381853146,0.014609124991893152
2026-07-28,1733.TW,五鼎,31.700000762939453,bull,72.59469023014067,137.0,72.99324516078546,72.4618385865924,0.6462547097263439,0.05838739573679333,0.17532467532467533,-0.00782472594773731,0.08191131700929288,0.12014139991305717,69.56522820802525,1.1138896912298413,0.02597300175244288
2026-07-28,1442.TW,名軒,29.899999618530277,bull,72.5094883080323,399.0,47.44569679476102,80.86408547912274,0.5950951032501963,0.03429101019462465,0.16233766233766234,-0.004991667964679203,0.11152416515030072,0.13043473557947127,65.11627288042527,1.3650711022732136,0.029791616299185364
2026-07-28,4736.TW,泰博,129.5,bull,72.02165377338788,136.0,73.12470502530472,71.65397002274894,0.8717141817828441,0.12140871177015755,0.32560296846011133,-0.0038461538461538325,0.04016064257028118,0.031872509960159334,64.0,1.0634538491661587,0.014890282131661436
