item,value
latest_date,2026-06-25
market_regime,bull
universe_rows,1077
candidate_rows,98
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2527.TW 宏璟,3014.TW 聯陽,8081.TW 致新,6139.TW 亞翔,2379.TW 瑞昱"
defensive_fund_ml_85_15_top5,"2527.TW 宏璟,3014.TW 聯陽,6209.TW 今國光,2383.TW 台光電,8081.TW 致新"
fundamental_only_top5,"2059.TW 川湖,2408.TW 南亞科,2330.TW 台積電,2344.TW 華邦電,6197.TW 佳必琪"
final_score_only_top5,"2408.TW 南亞科,2344.TW 華邦電,2059.TW 川湖,6197.TW 佳必琪,3008.TW 大立光"
stable_ml_only_top5,"3346.TW 麗清,9933.TW 中鼎,6757.TW 台灣虎航,6691.TW 洋基工程,2030.TW 彰源"
