date,symbol,name,Close,market_regime,fund_final_ml,fundamental_rank,fundamental_score,final_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-07-09,6753.TW,龍德造船,148.0,bull,0.8728813559322035,117.0,75.40121337756102,79.24578879092635,80.52731392871479,0.8879722270898028,0.0785582255083179,0.2812210915818686,0.0571428571428571,0.2282157676348548,0.1428571428571428,69.34306569343066,1.5196885955738215,0.1182470721571591
2026-07-09,2458.TW,義隆,183.5,bull,0.8669491525423729,50.0,86.91654017956604,81.12104509857024,79.18921340490496,0.6246274615272113,0.0693160813308687,0.154486586493987,-0.0107816711590296,0.2525597269624573,0.3443223443223444,56.14973262032085,0.7251609531232531,0.0662405578152236
2026-07-09,2527.TW,宏璟,42.59999847412109,bull,0.8669491525423728,75.0,82.24426248497689,76.08345130765116,74.02984758187591,0.8304053770205613,0.077634011090573,0.3006475485661424,0.0390243530273435,0.2312138830290282,0.1299734114594108,66.86748233862323,0.5604369348309494,0.0647337773932696
2026-07-09,2379.TW,瑞昱,840.0,bull,0.8491525423728814,127.0,74.41354387638152,78.8639745684559,80.34745146581402,0.8421039438603334,0.0512939001848428,0.0758556891766882,0.0357583230579532,0.3023255813953489,0.6030534351145038,52.17391304347826,1.1801205314640693,0.085061034683201
2026-07-09,2423.TW,固緯,79.69999694824219,bull,0.8432203389830509,15.0,96.18369172987968,75.87014964705239,69.09896895277663,0.6228271891006351,0.2134935304990758,0.0767807585568917,0.0887978179096917,0.0770269857870566,0.6020099889093906,58.44558403298126,2.2469025518993804,0.0631384055403043
2026-07-09,6139.TW,亞翔,875.0,bull,0.8415254237288134,113.0,75.64712525562624,75.2892043592521,75.16989739379405,0.9024101252904756,0.1035120147874306,0.1406105457909343,-0.0681576144834931,0.1872455902306649,0.3779527559055118,57.10382513661202,0.6116570192712145,0.0134352559647903
2026-07-09,3006.TW,晶豪科,237.0,bull,0.8347457627118644,7.0,98.64788449850906,82.87067862883987,77.6116100056168,0.3880663737978772,0.1090573012939001,0.1091581868640148,0.0871559633027523,0.1732673267326732,0.4766355140186915,49.77080506399945,1.6597583398211373,0.0493232385745237
2026-07-09,3034.TW,聯詠,542.0,bull,0.8330508474576271,116.0,75.54535048945058,75.074022450391,74.9169131040378,0.9011352045453184,0.1386321626617375,0.1461609620721554,0.0018484288354898,0.1327063740856844,0.3601003764115433,56.43564356435643,1.0676141835986426,0.0268554918770425
2026-07-09,2395.TW,研華,540.0,bull,0.8220338983050848,49.0,87.43653384699755,87.05744831201594,86.93108646702206,0.4224566333632241,0.1192236598890942,0.0888066604995374,0.0588235294117647,0.1600429645542427,0.569767441860465,61.05769230769231,2.3894473317738014,0.0935047840834304
2026-07-09,2059.TW,川湖,8250.0,bull,0.8177966101694915,1.0,100.0,88.14517730945835,84.19356974594447,0.146555256620678,0.05452865064695,0.0175763182238667,0.0469543147208122,0.2951334379905808,1.3947750362844702,70.82706766917293,1.176048863574274,0.1176211602939683
