item,value
latest_date,2026-08-21
market_regime,neutral
universe_rows,1073
candidate_rows,112
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2455.TW 全新,3443.TW 創意,3017.TW 奇鋐,4967.TW 十銓,1808.TW 潤隆"
defensive_fund_ml_85_15_top5,"2455.TW 全新,4967.TW 十銓,2025.TW 千興,3443.TW 創意,6183.TW 關貿"
fundamental_only_top5,"2408.TW 南亞科,3006.TW 晶豪科,2344.TW 華邦電,2455.TW 全新,3653.TW 健策"
final_score_only_top5,"2408.TW 南亞科,3653.TW 健策,3443.TW 創意,2383.TW 台光電,3017.TW 奇鋐"
stable_ml_only_top5,"2025.TW 千興,2537.TW 聯上發,2546.TW 根基,3712.TW 永崴投控,9935.TW 慶豐富"
