date,symbol,name,Close,market_regime,final_score,fundamental_rank,fundamental_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-06-11,3008.TW,大立光,4165.0,bull,89.0191339644968,100.0,76.94531754874203,93.04373943641508,0.3320562503655876,0.0416666666666666,0.0425925925925925,0.0888888888888888,0.328548644338118,0.8462884438250651,63.213530655391125,1.8618360691335996,0.1388338232278352
2026-06-11,6446.TW,藥華藥,934.0,bull,86.23249269312079,13.0,96.8555062833974,82.69148816302858,0.2698781826758794,0.1,0.1185185185185185,-0.0042643923240938,0.1943734015345268,0.4391371340523882,64.83253588516746,1.387512458199928,0.0562026461608051
2026-06-11,6197.TW,佳必琪,317.5,bull,85.9154187524787,33.0,89.98012274352672,84.56051742212935,0.4596278135147864,0.0305555555555555,0.0472222222222222,0.0031595576619274,0.4017660044150111,0.809116809116809,72.36363636363636,1.2232863778783332,0.1175642379443857
2026-06-11,2344.TW,華邦電,156.5,bull,85.6931389530871,11.0,96.98400611250784,81.92951656661351,0.0980799589646852,0.1166666666666666,0.1555555555555555,-0.128133704735376,0.1679104477611941,0.3446100147670827,61.79775280898876,0.924604577258873,0.0624575695858791
2026-06-11,2025.TW,千興,13.899999618530272,bull,82.28740164743297,72.0,82.3791102091105,82.2568321268738,0.6398983352399494,0.1509259259259259,0.1712962962962963,0.1393442488395853,0.1393442488395853,0.3051643301794322,63.39285166896342,2.6597230196538915,0.10470889666422
2026-06-11,3042.TW,晶技,235.0,bull,81.99830807540711,244.0,61.80661362727634,88.72887289145069,0.528261195627953,0.0175925925925925,0.0083333333333333,0.1298076923076923,0.5719063545150502,1.5405405405405403,69.66666666666666,1.491353635862972,0.2086922978012086
2026-06-11,2379.TW,瑞昱,655.0,bull,81.03886413558398,127.0,74.41354387638152,83.24730422198479,0.7408003898628985,0.1453703703703703,0.1453703703703703,0.0496794871794872,0.1411149825783972,0.3645833333333332,63.230240549828174,1.1706042489675554,0.087588210875882
2026-06-11,2493.TW,揚博,188.5,bull,80.99612531219684,153.0,71.53758613339757,84.14897170512994,0.4305094566003964,0.0398148148148148,0.0518518518518518,0.0619718309859154,0.3464285714285715,0.7616822429906542,70.90163934426229,2.003234506495519,0.209690357773143
2026-06-11,3406.TW,玉晶光,693.0,bull,80.80040799382502,173.0,69.07874706062229,84.7076283048926,0.603883420316087,0.062037037037037,0.0777777777777777,0.07847617777527,0.2691352896721866,0.6207884842643818,72.64696981240243,1.7784179367462212,0.1535607011491013
2026-06-11,2428.TW,興勤,281.0,bull,80.65773624170937,223.0,64.00836216806215,86.20752759959178,0.4908299901391302,0.0453703703703703,0.0537037037037037,0.060377358490566,0.3254716981132075,0.7562500000000001,64.75095785440612,1.1273803608342643,0.084209510948201
2026-06-11,6239.TW,力成,333.0,bull,79.50653323204926,289.0,57.54461196953751,86.8271736528865,0.2919009957932547,0.0231481481481481,0.075,-0.059322033898305,0.4541484716157205,0.6323529411764706,59.9601593625498,0.6267987134023186,0.0666239590006405
2026-06-11,2495.TW,普安,49.650001525878906,bull,79.25878900879782,265.0,59.87100186749289,85.72138472256613,0.2394011727105779,0.037037037037037,0.0907407407407407,-0.0264705583160999,0.3640109737517398,0.5564263987338072,58.91980284450236,0.9549126657495542,0.0769481342996509
2026-06-11,3167.TW,大量,847.0,bull,78.3328975706342,40.0,88.81703425043213,74.8381853440349,0.4983363128621949,0.187037037037037,0.0157407407407407,-0.0599334073251942,0.1071895424836602,1.3079019073569484,51.29449838187702,1.519013615797488,0.0182124181042255
2026-06-11,3528.TW,安馳,117.0,bull,77.92160729679867,352.0,51.14489986186502,86.84717644177654,0.9522797569189864,0.0287037037037037,0.0398148148148148,-0.1642857142857142,0.4096385542168674,0.8720000000000001,62.26215404407887,0.5311290874781605,0.0612726156668144
2026-06-11,9105.TW,泰金寶-DR,9.239999771118164,bull,77.82662625078126,369.0,50.0,87.10216833437501,0.2218562652252314,0.012037037037037,0.0722222222222222,-0.2724409519772409,0.6013864474284552,0.6480055219035734,63.064006252420455,0.8208379140199084,0.0787461033781062
