item,value
latest_date,2026-07-01
market_regime,bull
universe_rows,1080
candidate_rows,101
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"3443.TW 創意,6139.TW 亞翔,2383.TW 台光電,2458.TW 義隆,6944.TW 兆聯實業"
defensive_fund_ml_85_15_top5,"6944.TW 兆聯實業,1342.TW 八貫,2458.TW 義隆,2527.TW 宏璟,3014.TW 聯陽"
fundamental_only_top5,"2059.TW 川湖,2330.TW 台積電,2344.TW 華邦電,7610.TW 聯友金屬-創,6781.TW AES-KY"
final_score_only_top5,"7610.TW 聯友金屬-創,2059.TW 川湖,2379.TW 瑞昱,2383.TW 台光電,2327.TW 國巨*"
stable_ml_only_top5,"6757.TW 台灣虎航,6691.TW 洋基工程,3346.TW 麗清,1342.TW 八貫,3034.TW 聯詠"
