date,symbol,name,Close,market_regime,stable_ensemble_score,fundamental_rank,fundamental_score,final_score,technical_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-06-25,3346.TW,麗清,24.549999237060547,bull,0.9602443874360251,1063.0,6.120174416109647,53.93556577710059,69.87402956409757,0.04178272980501393,0.22490706319702602,0.002040785186144811,0.38309854856679126,0.2955144194544319,45.49549487627664,0.7540102030212165,0.021002256458083624
2026-06-25,9933.TW,中鼎,43.650001525878906,bull,0.9590450995212899,793.0,23.64577886729635,58.82831674091607,70.55582936545598,0.19870009285051068,0.29182156133828996,0.013937335643477322,0.10927581241421791,0.20746887091086097,56.578950890765746,0.5403967321730412,0.04469577566959937
2026-06-25,6757.TW,台灣虎航,65.5999984741211,bull,0.9565051205636805,124.0,74.5817906283807,77.62918734642862,78.6449862524446,0.10399257195914577,0.25464684014869887,0.10998308236583543,0.20366969677286417,0.2567049332438951,76.14679380695911,1.8242878702076288,0.14825832912153603
2026-06-25,6691.TW,洋基工程,797.0,bull,0.9463941315734079,137.0,72.9382876924978,77.84871864100658,79.48552895717619,0.11327762302692665,0.1970260223048327,0.1337126600284495,0.18249258160237392,0.34628378378378377,72.37569060773481,1.8628590153274245,0.17214501066254861
2026-06-25,2030.TW,彰源,18.950000762939453,bull,0.9336282242728237,538.0,38.807934191914576,58.77734593441879,65.43381651525353,0.3491179201485608,0.31691449814126393,0.02710026988206704,0.0527778201633029,0.17701865303990494,58.060527512348294,0.6263684447985933,0.025155565380926115
2026-06-25,3034.TW,聯詠,561.0,bull,0.8896522845674995,115.0,75.54535048945058,75.84483890060784,75.9446683709936,0.14020427112349118,0.16635687732342008,0.08932038834951461,0.15670103092783516,0.40601503759398505,72.22222222222223,0.9886172539769716,0.11171662125340598
2026-06-25,2527.TW,宏璟,40.150001525878906,bull,0.884722656875967,74.0,82.24426248497689,79.1174571426711,78.07518869523584,0.20055710306406685,0.18773234200743494,0.03213367483207974,0.10758624898976299,0.3633276905175695,62.96296761432316,0.9885827372617516,0.07159542557243337
2026-06-25,1709.TW,和益,21.399999618530277,bull,0.8511711306273778,327.0,52.52750676874495,66.34640707037231,70.95270717091476,0.18755803156917364,0.31970260223048325,0.02147965819585429,0.11458326917555861,0.17582410557404815,57.77776176547508,0.828917656422344,0.03782733454535703
2026-06-25,6139.TW,亞翔,875.0,bull,0.8446144338507322,112.0,75.64712525562624,78.47532728000999,79.41806128813792,0.27298050139275765,0.13104089219330856,0.0856079404466501,0.07891491985203447,0.524390243902439,55.0,1.487950201970315,0.10180696342000894
2026-06-25,3652.TW,精聯,41.150001525878906,bull,0.8166390623335289,406.0,46.42890186010385,72.11997044065596,80.68365996750667,0.07428040854224698,0.13289962825278812,0.10469802754037327,0.2545732464342174,0.5212570309244331,68.8888933629156,0.9121563961222773,0.13345272794576668
2026-06-25,8131.TW,福懋科,75.0999984741211,bull,0.7989552641569448,111.0,75.64747800444505,66.36744824543327,63.274104992429336,0.24605385329619314,0.30855018587360594,-0.001329766997064108,0.0899854399264921,0.19017433106470705,52.58855815241411,0.8211793781048716,0.032586260825675284
2026-06-25,5285.TW,界霖,101.5,bull,0.7953096828474979,370.0,49.817373099182696,70.3902659992833,77.2478969659835,0.16620241411327763,0.05018587360594796,0.14336916669409683,0.12777777777777777,1.0567376522458485,51.93231878522272,2.2116877951860703,0.10186339475436634
2026-06-25,2347.TW,聯強,95.0,bull,0.7919594875524794,470.0,42.4453478070041,65.46441441592607,73.13743661890007,0.20705663881151345,0.3076208178438662,0.028138511160012314,0.10593711655964944,0.19047614494931242,59.010599468314695,0.7804116044460833,0.05100121517457623
2026-06-25,2379.TW,瑞昱,814.0,bull,0.7824922049888072,126.0,74.41354387638152,82.8624457354307,85.67874635511374,0.05013927576601671,0.10594795539033457,0.09261744966442964,0.34545454545454546,0.6461071789686552,66.84397163120568,1.1589910390364047,0.1822803195352214
2026-06-25,1776.TW,展宇,19.950000762939453,bull,0.7802683940268159,460.0,42.79632276689389,65.86261159377908,73.55137453607415,0.22748375116063138,0.23977695167286245,0.06400004069010423,0.0991736188562482,0.2747604632090723,66.81734673709116,0.9917530629546012,0.09400835351379122
2026-06-25,2618.TW,長榮航,44.5,bull,0.7288812059568419,204.0,65.4946890287355,73.89011417556516,76.68858922450839,0.06406685236768803,0.2555762081784387,0.04582845588493045,0.27873566021832996,0.255289112617501,77.96610607836685,0.9418013535092534,0.13440824958337494
2026-06-25,1718.TW,中纖,10.149999618530272,bull,0.7282762924744632,1065.0,5.445314650694486,66.44968176744699,86.78447080636448,0.014856081708449397,0.1979553903345725,0.03677218162206253,0.6085577988229298,0.3461538023716133,55.773947771448064,1.8417084742752017,0.12940911152884804
2026-06-25,6409.TW,旭隼,1000.0,bull,0.7159987164677192,234.0,62.88856390334461,80.54571106200315,86.431426781556,0.034354688950789226,0.19609665427509293,0.07526881720430101,0.4144271570014144,0.3495276653171391,65.98360655737704,1.3482189311517785,0.155201293825449
2026-06-25,3406.TW,玉晶光,759.0,bull,0.6897539788898672,172.0,69.07874706062229,83.0160270413379,87.66178703490978,0.052924791086350974,0.08364312267657993,0.05124653739612195,0.33060338698102343,0.7571173536847209,64.18361642791784,0.8787346136241444,0.11853552505188225
2026-06-25,6585.TW,鼎基,132.5,bull,0.6776847811681813,178.0,68.00003819985514,76.06359496550445,78.75144722072089,0.03714020427112349,0.20910780669144982,0.002464161714580859,0.4036016722274769,0.32499999999999996,67.41922057240063,0.6295508653688306,0.08670978982569855
2026-06-25,6209.TW,今國光,89.4000015258789,bull,0.6674914041088134,81.0,81.24950417592753,73.55398211532297,70.98880809512144,0.2414113277623027,0.0845724907063197,-0.06583067526920139,0.09157508986895602,0.7529412063897825,54.327813051436316,0.676354249826691,0.03310801499529803
2026-06-25,6957.TW,裕慶-KY,194.0,bull,0.6648577670061735,285.0,57.7309173012778,64.43413844323553,66.66854549055476,0.14856081708449395,0.28903345724907065,0.015706806282722585,0.14792899408284033,0.20872274143302172,50.0,0.885742866618879,0.04021447721179627
