item,value
latest_date,2026-06-26
market_regime,bull
universe_rows,1078
candidate_rows,123
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"1342.TW 八貫,2527.TW 宏璟,6139.TW 亞翔,4807.TW 日成-KY,6691.TW 洋基工程"
defensive_fund_ml_85_15_top5,"6944.TW 兆聯實業,2527.TW 宏璟,1342.TW 八貫,3014.TW 聯陽,4807.TW 日成-KY"
fundamental_only_top5,"2059.TW 川湖,2408.TW 南亞科,2330.TW 台積電,2344.TW 華邦電,7610.TW 聯友金屬-創"
final_score_only_top5,"2408.TW 南亞科,2344.TW 華邦電,7610.TW 聯友金屬-創,2059.TW 川湖,6197.TW 佳必琪"
stable_ml_only_top5,"6757.TW 台灣虎航,6691.TW 洋基工程,2414.TW 精技,1342.TW 八貫,3034.TW 聯詠"
