Open,High,Low,Close,Volume,ret5,ma5,ret20,ma20,ret60,ma60,ret120,ma120,ma20_slope,rsi14,volume_ma20,volume_ratio,ma20_deviation,symbol,name,date,benchmark_ret20,benchmark_ret60,market_regime,rs20_rank_pct,rs60_rank_pct,period_date,as_of_date,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,current_assets,current_liabilities,assets,liabilities,equity,cash,short_borrowings,long_borrowings,bonds_payable,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score,fundamental_score,fundamental_pass,technical_score,score,final_score,fundamental_rank,pass_market,pass_score,pass_rs20,pass_rs60,pass_close_ma20,pass_ma20_ma60,pass_ma20_slope,pass_rsi,pass_ret20_benchmark,pass_ret60_benchmark,pass_ret5_cap,pass_ret20_cap,pass_volume_ratio,pass_ma20_deviation,pass_fundamental_score,pass_fundamental_filter,pass_fundamental_universe,entry_pass_count,entry_all_pass,close_ma60_ratio,close_ma120_ratio,above_ma120,turnover20,liquidity_rank,price_bucket,eva_rank_bucket,forward_60d_return,forward_60d_max_drawdown,reward_60,fwd60_rank_label,top_quantile_60,reg_forward60,reg_reward60,cls_topq60,rank_forward60,ensemble_score,ranker_score,stable_ensemble_score,fundamental_rank_score,fundamental_score_rank,final_score_rank,stable_ml_rank,fund_ml_85_15,fund_final_ml
23.850000381469727,23.89999961853028,23.600000381469727,23.700000762939453,13926340.0,-0.0346231568446625,24.410000228881835,-0.0669290898079625,24.28750009536743,-0.0519999694824219,24.31499999364217,0.0349345483727356,24.395833349227907,-0.0061381035143762,42.64706212343901,30695388.7,0.4536948574298393,-0.0241893702571733,1101.TW,台泥,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.7831900668576887,0.7277936962750716,2026-03-31,2026-05-15,33168148000.0,6208390000.0,2792191000.0,2132735000.0,927996000.0,718189000.0,0.1,184722314000.0,82516661000.0,597615286000.0,292869670000.0,304745616000.0,97044326000.0,5704442000.0,70674580000.0,98473452000.0,0.4,1675314600.0,515098625000.0,0.0032524152049522,0.0023566836150975,0.0012017580822054,0.961029969336786,0.1871792781435972,0.0841829034289162,0.021652972604922,-0.0511527050022949,,,23.33964555046912,23.33964555046912,False,13.309455587392549,13.309455587392549,15.81700307816169,779.0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,4,False,-0.0252929973622672,-0.0285225995901663,0.0,727480735.608723,0.1996179560649474,0.0,3.0,,,,,,,,,,,,,,,,,,
33.70000076293945,33.900001525878906,33.5,33.79999923706055,2979286.0,0.0,34.10999984741211,-0.024531089506115,34.152499771118165,-0.0058823753805721,34.780833371480306,-0.1322208324775973,35.51666660308838,-0.0060390066006529,42.06349590798227,23251004.65,0.1281357964891207,-0.0103213684626306,1102.TW,亞泥,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.609360076408787,0.5702005730659025,2026-03-31,2026-05-15,14829491000.0,1928135000.0,1184173000.0,2141327000.0,350025000.0,1887022000.0,0.56,94593171000.0,73132379000.0,329731256000.0,128784897000.0,200946359000.0,15235953000.0,28787827000.0,4255757000.0,36700000000.0,0.1634617225673612,990606041.60224,256598877000.0,0.0038605236826591,0.0093906752498063,0.0057229090832687,0.6408919158371016,0.1300203088561839,0.0798525721482955,0.1272479277946896,-0.1063722306154607,,,24.23843577719405,24.23843577719405,False,22.46418338108883,22.46418338108883,22.907746480115136,757.0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,4,False,-0.0282004207301147,-0.0483341352163538,0.0,785883939.4308912,0.1891117478510028,1.0,3.0,,,,,,,,,,,,,,,,,,
13.300000190734863,13.350000381469728,13.100000381469728,13.199999809265137,195419.0,-0.0075188255665883,13.45,-0.0185873608583835,13.222499990463255,-0.0329670199150956,13.495833349227906,-0.0736842239112184,13.72791666984558,0.0007568619249243,54.54544403664423,368559.45,0.530223821421483,-0.0017016586284249,1103.TW,嘉泥,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.5711556829035339,0.6571155682903533,2026-03-31,2026-05-15,688370000.0,145582000.0,15792000.0,68393000.0,17068000.0,51804000.0,0.08,9362513000.0,3870134000.0,32757303000.0,14017768000.0,18739535000.0,1970746000.0,2079035000.0,6393331000.0,,0.2495577032737268,11850984.749901306,28887169000.0,0.0004102508193136,0.0027644229165771,0.0015814488756904,0.7480317948124113,0.2114880079027267,0.0229411508345802,0.0752560396298502,-0.0851921990763813,,,18.621217318355463,18.621217318355463,False,34.26571145746207,34.26571145746207,30.35458792268542,858.0,True,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,6,False,-0.0219203610705295,-0.0384557156979291,0.0,4864984.669702864,0.839541547277937,0.0,3.0,,,,,,,,,,,,,,,,,,
28.5,28.89999961853028,28.39999961853028,28.850000381469727,331384.0,0.0340502070225294,28.960000228881835,0.019434669937691,27.910000133514405,-0.0253378375112967,28.72083336512248,-0.0826709163242233,29.375,0.0060376754174637,71.21213259667235,838967.95,0.3949900589170301,0.0336796934238121,1104.TW,環泥,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.3486150907354345,0.6370582617000955,2026-03-31,2026-05-15,1759047000.0,491646000.0,285740000.0,347360000.0,56881000.0,284208000.0,0.41,7669095000.0,4410523000.0,31541057000.0,5780531000.0,25760526000.0,1637303000.0,2780000000.0,,,0.1637523030861354,238949416.91616768,27130534000.0,0.0088073982220979,0.0110326939752705,0.0090107316314732,0.2243949133647348,0.2794956587288458,0.1624402304202218,0.1615693042880605,-0.0879406052096436,,,42.753988441989705,42.753988441989705,False,41.42173185408559,41.42173185408559,41.75479600106162,449.0,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,False,8,False,0.0044973282879772,-0.0178723274393284,0.0,24204225.677540872,0.6217765042979942,0.0,3.0,,,,,,,,,,,,,,,,,,
13.600000381469728,13.699999809265137,13.550000190734863,13.699999809265137,66158.0,-0.0072464043541727,13.880000114440918,-0.0616438731978986,13.782500076293946,-0.0957095607772564,14.453333441416424,-0.0897010208877484,14.740833353996276,-0.0127149036907475,46.15383486776951,431193.6,0.153429921037789,-0.005985870964783,1108.TW,幸福,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.7717287488061128,0.8175740210124164,2026-03-31,2026-05-15,980706000.0,158238000.0,88910000.0,86131000.0,17242000.0,68889000.0,0.17,5834525000.0,4480873000.0,10345312000.0,4923631000.0,5421681000.0,298989000.0,1342000000.0,201500000.0,,0.2001834415018982,71111690.21606623,5864439000.0,0.0121259152352111,0.0127062068019125,0.0066589581831848,0.9081373470700324,0.1613511082832164,0.0906591781838797,0.0702442933967978,-0.1913103709872929,,,28.9506364989466,28.9506364989466,False,11.408787010506208,11.408787010506208,15.794249382616306,681.0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,4,False,-0.0521217915026155,-0.0706088672014575,0.0,5907352.237756347,0.8099331423113658,0.0,3.0,,,,,,,,,,,,,,,,,,
14.449999809265137,14.550000190734863,14.449999809265137,14.550000190734863,34193.0,-0.0068258996859578,14.760000038146972,-0.06129031027517,14.730000019073486,-0.0521172749741826,15.157499933242798,-0.0732483842357512,15.331249952316284,-0.0110775370868624,47.9999908447195,213336.05,0.1602776464643458,-0.0122199475971178,1109.TW,信大,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.7707736389684814,0.7297039159503342,2026-03-31,2026-05-15,855342000.0,53309000.0,-15946000.0,-12152000.0,3605000.0,4151000.0,0.01,5601241000.0,928832000.0,11463030000.0,1056245000.0,10406785000.0,2121130000.0,,,,0.0,-15946000.0,10534198000.0,-0.0015137364989722,0.0003988743881996,0.0003621206609421,0.1014958029785375,0.0623247776912626,-0.0186428352635553,0.0048530295484145,-0.133860707580701,,,14.529380265008111,14.529380265008111,False,13.634192932187204,13.634192932187204,13.857989765392428,941.0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,4,False,-0.0400791519171042,-0.0509579952066066,0.0,3104039.568190622,0.8901623686723973,0.0,3.0,,,,,,,,,,,,,,,,,,
15.5,15.5,15.149999618530272,15.5,225001.0,0.0616438078777414,15.589999961853028,0.0097719618763885,14.59749994277954,-0.0220820424634762,15.044166660308838,-0.0801187151873509,15.69499994913737,0.0081146356043701,67.56756199460114,362944.5,0.619932248594482,0.0618256592401542,1110.TW,東泥,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.4049665711556829,0.6255969436485196,2026-03-31,2026-05-15,582643000.0,83497000.0,44070000.0,33666000.0,8657000.0,25695000.0,0.05,2827051000.0,1931603000.0,12789768000.0,3130316000.0,9659452000.0,402347000.0,1166000000.0,483161000.0,,0.2571437058159567,32737676.884690788,10858165000.0,0.0030150284955782,0.0026600887917865,0.0020090278416309,0.3240676593247732,0.1433073082487904,0.0756380836979076,0.0441007615297875,-0.2132017328270251,,,22.850230007474945,22.850230007474945,False,45.065926439017005,45.065926439017005,39.51200233113149,789.0,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,7,False,0.0302996736199281,-0.012424335761026,0.0,5625639.75,0.8175740210124164,0.0,3.0,,,,,,,,,,,,,,,,,,
12.100000381469728,12.350000381469728,12.100000381469728,12.350000381469728,85481.0,0.0040650560942696,12.420000076293944,0.0081632964465083,12.187500095367431,-0.1241134718194657,12.875,-0.1739130074225205,13.7,0.001849567634133,60.00000000000004,531490.55,0.1608325867694166,0.0133333567040598,1201.TW,味全,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.4212034383954154,0.8624641833810889,2026-03-31,2026-05-15,5001067000.0,1370784000.0,39544000.0,115681000.0,13929000.0,101516000.0,0.2,6636593000.0,6226099000.0,18440986000.0,10657178000.0,7783808000.0,1265176000.0,2295941000.0,3358980000.0,,0.1204087101598361,34782557.96543944,12214887000.0,0.0028475546245691,0.0130419455361694,0.0055049117221823,1.3691470807090822,0.2740983074211963,0.0079071126221664,0.0202988682215215,-0.0395234363896859,,,23.86207123535312,23.86207123535312,False,40.8022942111709,40.8022942111709,36.567238467216455,767.0,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,7,False,-0.0407766694004094,-0.0985401181408958,0.0,6563908.495247556,0.7870105062082139,0.0,3.0,,,,,,,,,,,,,,,,,,
53.5,54.0,53.400001525878906,53.79999923706055,1083022.0,0.0247618902297246,53.78000030517578,0.0286806887549069,52.80999984741211,0.0406189253990583,53.47999986012777,0.0267175127941594,52.44083337783813,0.0066717499240951,52.83018188911034,3773957.85,0.286972468439201,0.0187464380327384,1210.TW,大成,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.3018147086914995,0.4574976122254059,2026-03-31,2026-05-15,26901827000.0,3784019000.0,1180916000.0,1208431000.0,239406000.0,788702000.0,0.94,32105270000.0,38581024000.0,76955549000.0,42538320000.0,34417229000.0,7061143000.0,20244237000.0,40800000.0,,0.1981130904453791,946961081.6836046,38374525000.0,0.0246768157178129,0.0229159064490636,0.0102487996024822,1.235960047800478,0.1406602979046739,0.0438972416260055,0.0293177857399796,0.0563562746423034,,,36.259563246145234,36.259563246145234,False,46.992745924248446,46.992745924248446,44.30945025472264,570.0,True,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,9,False,0.0059835336157387,0.0259180827548939,1.0,203038929.45069867,0.3390639923591213,1.0,3.0,,,,,,,,,,,,,,,,,,
116.0,117.5,115.5,116.5,419935.0,-0.0411522633744856,116.6,-0.078808648934176,127.8278060913086,-0.2070003016225298,133.2199405670166,-0.1402214022140221,135.90514526367187,-0.0262157298761525,22.489046711548127,2686928.65,0.1562881098461621,-0.0886176993698619,1215.TW,卜蜂,2026-06-08,0.0314757004575354,0.2781330031815163,bull,0.8175740210124164,0.9531996179560648,2026-03-31,2026-05-15,7176319000.0,1273463000.0,573563000.0,510743000.0,137571000.0,372755000.0,1.26,9174700000.0,11730317000.0,32536484000.0,21500209000.0,11036275000.0,363517000.0,3733696000.0,9408357000.0,,0.2693546460744445,419071141.1336034,20806167000.0,0.0201416792018252,0.033775436005355,0.0114565236981353,1.9481400200701773,0.1774535106368599,0.0799244013539531,0.0519423676678809,0.07155907602744,,,38.29005141898234,38.29005141898234,False,6.642788920725886,6.642788920725886,14.55460454529,538.0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,4,False,-0.1255062905436863,-0.142784478292,0.0,313027187.725,0.2865329512893982,2.0,3.0,,,,,,,,,,,,,,,,,,
