item,value
latest_date,2026-07-14
market_regime,bull
universe_rows,1081
candidate_rows,108
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2423.TW 固緯,5269.TW 祥碩,2527.TW 宏璟,6753.TW 龍德造船,1342.TW 八貫"
defensive_fund_ml_85_15_top5,"1342.TW 八貫,2423.TW 固緯,5269.TW 祥碩,2527.TW 宏璟,6491.TW 晶碩"
fundamental_only_top5,"2059.TW 川湖,2408.TW 南亞科,2330.TW 台積電,6446.TW 藥華藥,2423.TW 固緯"
final_score_only_top5,"2059.TW 川湖,2423.TW 固緯,6446.TW 藥華藥,2645.TW 長榮航太,2408.TW 南亞科"
stable_ml_only_top5,"3033.TW 威健,3702.TW 大聯大,1342.TW 八貫,2414.TW 精技,6753.TW 龍德造船"
