item,value
latest_date,2026-06-29
market_regime,bull
universe_rows,1077
candidate_rows,109
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2458.TW 義隆,4807.TW 日成-KY,6944.TW 兆聯實業,2379.TW 瑞昱,3034.TW 聯詠"
defensive_fund_ml_85_15_top5,"6944.TW 兆聯實業,2527.TW 宏璟,4807.TW 日成-KY,3014.TW 聯陽,6491.TW 晶碩"
fundamental_only_top5,"2408.TW 南亞科,2330.TW 台積電,2344.TW 華邦電,7610.TW 聯友金屬-創,6197.TW 佳必琪"
final_score_only_top5,"7610.TW 聯友金屬-創,2408.TW 南亞科,2458.TW 義隆,2344.TW 華邦電,6525.TW 捷敏-KY"
stable_ml_only_top5,"6757.TW 台灣虎航,3346.TW 麗清,6691.TW 洋基工程,3034.TW 聯詠,3011.TW 今皓"
