item,value
latest_date,2026-07-22
market_regime,bull
universe_rows,1082
candidate_rows,141
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2248.TW 華勝-KY,2527.TW 宏璟,2645.TW 長榮航太,6177.TW 達麗,6598.TW ABC-KY"
defensive_fund_ml_85_15_top5,"2248.TW 華勝-KY,6177.TW 達麗,9942.TW 茂順,2645.TW 長榮航太,8028.TW 昇陽半導體"
fundamental_only_top5,"2059.TW 川湖,6177.TW 達麗,2395.TW 研華,9942.TW 茂順,2248.TW 華勝-KY"
final_score_only_top5,"2527.TW 宏璟,2395.TW 研華,2059.TW 川湖,8046.TW 南電,3413.TW 京鼎"
stable_ml_only_top5,"2376.TW 技嘉,2762.TW 世界健身-KY,3033.TW 威健,3702.TW 大聯大,2546.TW 根基"
