item,value
latest_date,2026-07-15
market_regime,bull
universe_rows,1082
candidate_rows,105
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2527.TW 宏璟,5269.TW 祥碩,2645.TW 長榮航太,8131.TW 福懋科,6944.TW 兆聯實業"
defensive_fund_ml_85_15_top5,"6944.TW 兆聯實業,5269.TW 祥碩,2527.TW 宏璟,3006.TW 晶豪科,8028.TW 昇陽半導體"
fundamental_only_top5,"2059.TW 川湖,2330.TW 台積電,3006.TW 晶豪科,6446.TW 藥華藥,6902.TW GOGOLOOK"
final_score_only_top5,"6446.TW 藥華藥,2059.TW 川湖,6525.TW 捷敏-KY,2527.TW 宏璟,2645.TW 長榮航太"
stable_ml_only_top5,"3028.TW 增你強,3702.TW 大聯大,2414.TW 精技,6139.TW 亞翔,2601.TW 益航"
