item,value
latest_date,2026-06-16
market_regime,bull
universe_rows,1082
candidate_rows,101
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2025.TW 千興,6944.TW 兆聯實業,6209.TW 今國光,8996.TW 高力,2454.TW 聯發科"
defensive_fund_ml_85_15_top5,"6944.TW 兆聯實業,2025.TW 千興,8996.TW 高力,3014.TW 聯陽,2383.TW 台光電"
fundamental_only_top5,"2059.TW 川湖,2330.TW 台積電,6446.TW 藥華藥,8996.TW 高力,6197.TW 佳必琪"
final_score_only_top5,"2059.TW 川湖,6209.TW 今國光,8996.TW 高力,6446.TW 藥華藥,6197.TW 佳必琪"
stable_ml_only_top5,"2025.TW 千興,3528.TW 安馳,2414.TW 精技,2030.TW 彰源,9933.TW 中鼎"
