item,value
latest_date,2026-08-04
market_regime,neutral
universe_rows,1081
candidate_rows,90
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"1808.TW 潤隆,1438.TW 三地開發,1476.TW 儒鴻,2395.TW 研華,1733.TW 五鼎"
defensive_fund_ml_85_15_top5,"3034.TW 聯詠,2527.TW 宏璟,1476.TW 儒鴻,5515.TW 建國,4736.TW 泰博"
fundamental_only_top5,"2395.TW 研華,1476.TW 儒鴻,2527.TW 宏璟,5515.TW 建國,3034.TW 聯詠"
final_score_only_top5,"6598.TW ABC-KY,2395.TW 研華,2027.TW 大成鋼,2618.TW 長榮航,1808.TW 潤隆"
stable_ml_only_top5,"8462.TW 柏文,1438.TW 三地開發,3702.TW 大聯大,2546.TW 根基,2535.TW 達欣工"
