Open,High,Low,Close,Volume,ret5,ma5,ret20,ma20,ret60,ma60,ret120,ma120,ma20_slope,rsi14,volume_ma20,volume_ratio,ma20_deviation,symbol,date,benchmark_ret20,benchmark_ret60,market_regime,rs20_rank_pct,rs60_rank_pct,period_date,as_of_date,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,current_assets,current_liabilities,assets,liabilities,equity,cash,short_borrowings,long_borrowings,bonds_payable,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score,fundamental_score,fundamental_pass,technical_score,score,final_score,fundamental_rank,pass_market,pass_score,pass_rs20,pass_rs60,pass_close_ma20,pass_ma20_ma60,pass_ma20_slope,pass_rsi,pass_ret20_benchmark,pass_ret60_benchmark,pass_ret5_cap,pass_ret20_cap,pass_volume_ratio,pass_ma20_deviation,pass_fundamental_score,pass_fundamental_filter,pass_fundamental_universe,entry_pass_count,entry_all_pass,close_ma60_ratio,close_ma120_ratio,above_ma120,turnover20,liquidity_rank,price_bucket,eva_rank_bucket,forward_60d_return,forward_60d_max_drawdown,reward_60,fwd60_rank_label,top_quantile_60,reg_forward60,reg_reward60,cls_topq60,rank_forward60,ensemble_score,ranker_score,stable_ensemble_score,fundamental_rank_score,fundamental_score_rank,final_score_rank,stable_ml_rank,fund_ml_85_15,fund_final_ml,name
24.600000381469727,24.799999237060547,24.5,24.5,32271652.0,0.010309278350515427,24.589999771118165,0.012396662297629923,24.302499961853027,0.07456143946602278,24.34249998728434,0.07221004774548478,24.511666663487752,0.004650678146608109,51.66667196485383,34287234.25,0.9412147904580551,0.008126737514946303,1101.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.6561631139944393,0.48144712430426717,2026-03-31,2026-05-15,33168148000.0,6208390000.0,2792191000.0,2132735000.0,927996000.0,718189000.0,0.1,184722314000.0,82516661000.0,597615286000.0,292869670000.0,304745616000.0,97044326000.0,5704442000.0,70674580000.0,98473452000.0,0.4,1675314600.0,515098625000.0,0.0032524152049522,0.0023566836150975,0.0012017580822054,0.961029969336786,0.1871792781435972,0.0841829034289162,0.021652972604922,-0.0511527050022949,,,23.33964555046912,23.33964555046912,False,33.95615659880566,33.95615659880566,31.302028836721526,802.0,True,False,False,True,True,False,True,True,False,False,True,True,True,True,False,False,False,9,False,0.006470165874414402,-0.00047596369712099573,0.0,840037239.125,0.1872103799814643,0.0,3.0,,,,,,,,,,,,,,,,,,,台泥
35.599998474121094,36.04999923706055,35.5,35.79999923706055,19573378.0,0.037681137306102785,35.51999969482422,0.02432041360704118,34.26750011444092,0.0467835800709957,34.84666678110759,-0.06527415273629833,35.29833329518636,0.006831205407179536,74.99997350906361,26806510.5,0.7301725452106121,0.04472164930332356,1102.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.5801668211306765,0.5278293135435993,2026-03-31,2026-05-15,14829491000.0,1928135000.0,1184173000.0,2141327000.0,350025000.0,1887022000.0,0.56,94593171000.0,73132379000.0,329731256000.0,128784897000.0,200946359000.0,15235953000.0,28787827000.0,4255757000.0,36700000000.0,0.1634617225673612,990606041.60224,256598877000.0,0.0038605236826591,0.0093906752498063,0.0057229090832687,0.6408919158371016,0.1300203088561839,0.0798525721482955,0.1272479277946896,-0.1063722306154607,,,24.23843577719405,24.23843577719405,False,38.12606663610002,38.12606663610002,34.65415892137353,778.0,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,6,False,0.027357923842225684,0.01421217080361692,1.0,959673055.4482555,0.16774791473586653,1.0,3.0,,,,,,,,,,,,,,,,,,,亞泥
13.899999618530272,13.899999618530272,13.649999618530272,13.800000190734863,231962.0,0.026022333563798794,13.710000038146973,0.05747126352783338,13.439999961853028,0.022222236350730507,13.501666673024495,-0.010752660973561312,13.702083333333333,0.013574662130485355,60.60607461780773,381521.3,0.6079922667489338,0.02678573139163909,1103.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.40500463392029656,0.6076066790352505,2026-03-31,2026-05-15,688370000.0,145582000.0,15792000.0,68393000.0,17068000.0,51804000.0,0.08,9362513000.0,3870134000.0,32757303000.0,14017768000.0,18739535000.0,1970746000.0,2079035000.0,6393331000.0,,0.2495577032737268,11850984.749901306,28887169000.0,0.0004102508193136,0.0027644229165771,0.0015814488756904,0.7480317948124113,0.2114880079027267,0.0229411508345802,0.0752560396298502,-0.0851921990763813,,,18.621217318355463,18.621217318355463,False,49.454143420043906,49.454143420043906,41.74591189462179,884.0,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,7,False,0.022096051171698772,0.007146129170250148,1.0,5264994.012769413,0.8118628359592215,0.0,3.0,,,,,,,,,,,,,,,,,,,嘉泥
29.200000762939453,29.350000381469727,29.049999237060547,29.100000381469727,1598137.0,0.0034482890161975366,29.120000457763673,0.058181832053444626,28.485000133514404,-0.0034246705087982443,28.659166685740153,-0.039603923623967474,29.2375,0.01523656976059883,77.96610607836678,948837.3,1.6843108929212627,0.021590319293407267,1104.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.40222428174235403,0.6762523191094619,2026-03-31,2026-05-15,1759047000.0,491646000.0,285740000.0,347360000.0,56881000.0,284208000.0,0.41,7669095000.0,4410523000.0,31541057000.0,5780531000.0,25760526000.0,1637303000.0,2780000000.0,,,0.1637523030861354,238949416.91616768,27130534000.0,0.0088073982220979,0.0110326939752705,0.0090107316314732,0.2243949133647348,0.2794956587288458,0.1624402304202218,0.1615693042880605,-0.0879406052096436,,,42.753988441989705,42.753988441989705,False,42.12356607009958,42.12356607009958,42.281171663072115,464.0,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,7,False,0.015381943954041022,-0.004702851424720822,0.0,27611165.791952707,0.5968489341983317,0.0,3.0,,,,,,,,,,,,,,,,,,,環泥
13.899999618530272,13.949999809265137,13.800000190734863,13.899999618530272,148344.0,0.018315018826859042,13.879999923706055,0.010909063165837951,13.74000005722046,-0.060810848689583974,14.289166784286499,-0.07023412736661949,14.662500031789143,0.0018228182373360817,55.88235459113405,412018.3,0.3600422602588283,0.011644800629075025,1108.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.6654309545875811,0.8302411873840445,2026-03-31,2026-05-15,980706000.0,158238000.0,88910000.0,86131000.0,17242000.0,68889000.0,0.17,5834525000.0,4480873000.0,10345312000.0,4923631000.0,5421681000.0,298989000.0,1342000000.0,201500000.0,,0.2001834415018982,71111690.21606623,5864439000.0,0.0121259152352111,0.0127062068019125,0.0066589581831848,0.9081373470700324,0.1613511082832164,0.0906591781838797,0.0702442933967978,-0.1913103709872929,,,28.9506364989466,28.9506364989466,False,29.565169053676655,29.565169053676655,29.41153591499414,699.0,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,False,7,False,-0.027235119558138732,-0.05200343813167785,0.0,5727054.212827491,0.8025949953660797,0.0,3.0,,,,,,,,,,,,,,,,,,,幸福
14.649999618530272,14.649999618530272,14.550000190734863,14.649999618530272,258045.0,0.0034246051886410722,14.689999771118163,0.0,14.637499952316285,-0.03300330116104033,15.069166580835978,-0.06687899385293128,15.268749944368999,0.0005126374248025193,52.631547246181135,178272.0,1.4474791330102315,0.0008539481642839686,1109.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.7293790546802595,0.7606679035250464,2026-03-31,2026-05-15,855342000.0,53309000.0,-15946000.0,-12152000.0,3605000.0,4151000.0,0.01,5601241000.0,928832000.0,11463030000.0,1056245000.0,10406785000.0,2121130000.0,,,,0.0,-15946000.0,10534198000.0,-0.0015137364989722,0.0003988743881996,0.0003621206609421,0.1014958029785375,0.0623247776912626,-0.0186428352635553,0.0048530295484145,-0.133860707580701,,,14.529380265008111,14.529380265008111,False,28.603805055998464,28.603805055998464,25.085198858250877,970.0,True,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,8,False,-0.027816200720667372,-0.04052396745595521,0.0,2611684.7319946284,0.8897126969416126,0.0,3.0,,,,,,,,,,,,,,,,,,,信大
15.75,15.800000190734863,15.449999809265137,15.550000190734863,265818.0,0.009740297137676546,15.660000038146972,0.09507045067626585,15.09249997138977,0.04362420059368488,15.045833285649618,-0.04601221358467589,15.628749950726826,0.025828381935115573,66.66665551258626,391399.95,0.6791467397990214,0.030313083996180712,1110.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.278498609823911,0.5380333951762524,2026-03-31,2026-05-15,582643000.0,83497000.0,44070000.0,33666000.0,8657000.0,25695000.0,0.05,2827051000.0,1931603000.0,12789768000.0,3130316000.0,9659452000.0,402347000.0,1166000000.0,483161000.0,,0.2571437058159567,32737676.884690788,10858165000.0,0.0030150284955782,0.0026600887917865,0.0020090278416309,0.3240676593247732,0.1433073082487904,0.0756380836979076,0.0441007615297875,-0.2132017328270251,,,22.850230007474945,22.850230007474945,False,59.424013256017794,59.424013256017794,50.280567443882084,812.0,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,False,9,False,0.03350873929768383,-0.0050387753492915355,0.0,6086269.297153616,0.7933271547729379,0.0,3.0,,,,,,,,,,,,,,,,,,,東泥
12.449999809265137,12.550000190734863,12.449999809265137,12.550000190734863,488150.0,0.012096820711222867,12.479999923706055,0.03719006570894634,12.317500019073487,-0.06691447072811862,12.685833326975505,-0.15488216374761,13.539166657129924,0.008804253274948597,65.5172164318547,547832.9,0.8910563786877349,0.018875597426535773,1201.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.5125115848007414,0.8423005565862709,2026-03-31,2026-05-15,5001067000.0,1370784000.0,39544000.0,115681000.0,13929000.0,101516000.0,0.2,6636593000.0,6226099000.0,18440986000.0,10657178000.0,7783808000.0,1265176000.0,2295941000.0,3358980000.0,,0.1204087101598361,34782557.96543944,12214887000.0,0.0028475546245691,0.0130419455361694,0.0055049117221823,1.3691470807090822,0.2740983074211963,0.0079071126221664,0.0202988682215215,-0.0395234363896859,,,23.86207123535312,23.86207123535312,False,35.12097562480485,35.12097562480485,32.30624952744191,788.0,True,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,8,False,-0.010707466568380841,-0.07305962703946411,0.0,6875302.999490834,0.7784986098239111,0.0,3.0,,,,,,,,,,,,,,,,,,,味全
42.900001525878906,43.0,42.84999847412109,43.0,4317.0,0.005847953216374213,43.150000762939456,0.008206294527532965,42.975,0.11979162217014538,42.287500063578285,0.0831234048776428,40.95750010808309,0.008684428516759006,45.13275471519767,23551.25,0.18330237248553685,0.0005817335660267542,1203.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.6830398517145505,0.4090909090909091,2026-03-31,2026-05-15,1323768000.0,456272000.0,208493000.0,249342000.0,68578000.0,116595000.0,0.49,5022031000.0,1735171000.0,10736920000.0,3144376000.0,7592544000.0,2426460000.0,788000000.0,42900000.0,0.0,0.2750358944742562,151149941.2533789,9001749000.0,0.0167911748320664,0.015356512915829,0.0108592594524314,0.4141399773251232,0.3446767107227248,0.1574996525070858,0.0880781224504596,-0.1421895108456875,,,48.49143294825629,48.49143294825629,False,44.33000951845965,44.33000951845965,45.37036537590881,387.0,True,False,False,True,True,True,True,False,False,False,True,True,False,True,False,False,False,8,False,0.016848949106721633,0.04986876363369208,1.0,1012703.75,0.963855421686747,1.0,3.0,,,,,,,,,,,,,,,,,,,味王
55.09999847412109,55.70000076293945,54.70000076293945,54.70000076293945,3382290.0,-0.017953321118540422,55.29999923706055,0.034026449624580346,53.819999885559085,0.012962977091471428,53.71833318074544,0.06420231788123698,52.67250006993611,0.010704219582770909,67.21312705626184,5639523.05,0.5997475265217685,0.016350815296387378,1210.TW,2026-06-18,0.11945753531470471,0.4451178862189602,bull,0.5319740500463392,0.6252319109461967,2026-03-31,2026-05-15,26901827000.0,3784019000.0,1180916000.0,1208431000.0,239406000.0,788702000.0,0.94,32105270000.0,38581024000.0,76955549000.0,42538320000.0,34417229000.0,7061143000.0,20244237000.0,40800000.0,,0.1981130904453791,946961081.6836046,38374525000.0,0.0246768157178129,0.0229159064490636,0.0102487996024822,1.235960047800478,0.1406602979046739,0.0438972416260055,0.0293177857399796,0.0563562746423034,,,36.259563246145234,36.259563246145234,False,47.86907415936292,47.86907415936292,44.966696431058494,585.0,True,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,8,False,0.018274349259702616,0.03849258513097564,1.0,308481915.1376146,0.29471733086190915,1.0,3.0,,,,,,,,,,,,,,,,,,,大成
